size,keywords,coping_patterns,stigma_indicators,emotional_language,cluster_id
55,"[{'keyword': 'reborn jesus', 'score': 0.5265}, {'keyword': 'sacrifice sins', 'score': 0.4758}, {'keyword': 'gift salvation', 'score': 0.4349}, {'keyword': 'christ loves', 'score': 0.4089}, {'keyword': 'heaven does', 'score': 0.4024}, {'keyword': 'gospel br', 'score': 0.3955}, {'keyword': 'die judgment', 'score': 0.3698}, {'keyword': 'corinthians 17', 'score': 0.321}, {'keyword': 'pay debt', 'score': 0.3028}, {'keyword': 'read john', 'score': 0.2754}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 1, 'frequency': 0.01818181818181818}, 'fear': {'count': 2, 'frequency': 0.03636363636363636}, 'dismissal': {'count': 2, 'frequency': 0.03636363636363636}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 1, 'frequency': 0.01818181818181818}, 'depression': {'count': 0, 'frequency': 0.0}}",0
128,"[{'keyword': 'azula abused', 'score': 0.62}, {'keyword': 'zuko character', 'score': 0.5499}, {'keyword': 'villain therapy', 'score': 0.4042}, {'keyword': 'chloe', 'score': 0.3602}, {'keyword': 'ingrained child', 'score': 0.3472}, {'keyword': 'perfect daughter', 'score': 0.2963}, {'keyword': 'age iroh', 'score': 0.247}, {'keyword': 'grandmother death', 'score': 0.2301}, {'keyword': 'arc reunite', 'score': 0.1853}, {'keyword': 'agree imo', 'score': 0.1713}]","{'help_seeking': {'count': 3, 'frequency': 0.0234375}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 5, 'frequency': 0.0390625}, 'treatment': {'count': 1, 'frequency': 0.0078125}}","{'shame': {'count': 2, 'frequency': 0.015625}, 'fear': {'count': 1, 'frequency': 0.0078125}, 'dismissal': {'count': 3, 'frequency': 0.0234375}, 'normalization': {'count': 3, 'frequency': 0.0234375}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 3, 'frequency': 0.0234375}, 'negative': {'count': 1, 'frequency': 0.0078125}, 'anxiety': {'count': 1, 'frequency': 0.0078125}, 'depression': {'count': 1, 'frequency': 0.0078125}}",1
52,"[{'keyword': 'work andy', 'score': 0.4462}, {'keyword': 'miranda criticism', 'score': 0.3805}, {'keyword': 'career retaliation', 'score': 0.3733}, {'keyword': 'ceo behavior', 'score': 0.3072}, {'keyword': 'herm stress', 'score': 0.3055}, {'keyword': 'treats emily', 'score': 0.3054}, {'keyword': 'fashion ridiculous', 'score': 0.2694}, {'keyword': 'understanding friends', 'score': 0.2403}, {'keyword': 'nate doesn', 'score': 0.1928}, {'keyword': 'chained phone', 'score': 0.1743}]","{'help_seeking': {'count': 4, 'frequency': 0.07692307692307693}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 2, 'frequency': 0.038461538461538464}, 'treatment': {'count': 2, 'frequency': 0.038461538461538464}}","{'shame': {'count': 1, 'frequency': 0.019230769230769232}, 'fear': {'count': 1, 'frequency': 0.019230769230769232}, 'dismissal': {'count': 3, 'frequency': 0.057692307692307696}, 'normalization': {'count': 5, 'frequency': 0.09615384615384616}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 4, 'frequency': 0.07692307692307693}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 2, 'frequency': 0.038461538461538464}, 'depression': {'count': 0, 'frequency': 0.0}}",2
107,"[{'keyword': 'bullied judy', 'score': 0.5496}, {'keyword': 'nick believed', 'score': 0.4662}, {'keyword': 'fox prejudice', 'score': 0.3828}, {'keyword': 'family connections', 'score': 0.2978}, {'keyword': 'accountability kink', 'score': 0.2649}, {'keyword': 'advocated interviewed', 'score': 0.2504}, {'keyword': 'astrid struggling', 'score': 0.2182}, {'keyword': 'standing child', 'score': 0.1926}, {'keyword': 'major differences', 'score': 0.1776}, {'keyword': 'understandable reactions', 'score': 0.1273}]","{'help_seeking': {'count': 3, 'frequency': 0.028037383177570093}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 5, 'frequency': 0.04672897196261682}, 'treatment': {'count': 1, 'frequency': 0.009345794392523364}}","{'shame': {'count': 4, 'frequency': 0.037383177570093455}, 'fear': {'count': 5, 'frequency': 0.04672897196261682}, 'dismissal': {'count': 3, 'frequency': 0.028037383177570093}, 'normalization': {'count': 1, 'frequency': 0.009345794392523364}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 3, 'frequency': 0.028037383177570093}, 'negative': {'count': 1, 'frequency': 0.009345794392523364}, 'anxiety': {'count': 3, 'frequency': 0.028037383177570093}, 'depression': {'count': 2, 'frequency': 0.018691588785046728}}",3
194,"[{'keyword': 'prejudice bridget', 'score': 0.6161}, {'keyword': 'hilarious darcy', 'score': 0.4042}, {'keyword': 'jones likable', 'score': 0.3265}, {'keyword': 'book personality', 'score': 0.2816}, {'keyword': 'displays humility', 'score': 0.2703}, {'keyword': 'movie buffs', 'score': 0.2515}, {'keyword': 'acting like', 'score': 0.2276}, {'keyword': 'relationship incredible', 'score': 0.2081}, {'keyword': 'totally agree', 'score': 0.1911}, {'keyword': 'reader inserts', 'score': 0.1257}]","{'help_seeking': {'count': 3, 'frequency': 0.015463917525773196}, 'self_care': {'count': 1, 'frequency': 0.005154639175257732}, 'support_networks': {'count': 4, 'frequency': 0.020618556701030927}, 'treatment': {'count': 1, 'frequency': 0.005154639175257732}}","{'shame': {'count': 2, 'frequency': 0.010309278350515464}, 'fear': {'count': 3, 'frequency': 0.015463917525773196}, 'dismissal': {'count': 4, 'frequency': 0.020618556701030927}, 'normalization': {'count': 3, 'frequency': 0.015463917525773196}, 'self_blame': {'count': 1, 'frequency': 0.005154639175257732}}","{'positive': {'count': 4, 'frequency': 0.020618556701030927}, 'negative': {'count': 5, 'frequency': 0.02577319587628866}, 'anxiety': {'count': 3, 'frequency': 0.015463917525773196}, 'depression': {'count': 6, 'frequency': 0.030927835051546393}}",4
156,"[{'keyword': 'frodo sam', 'score': 0.6729}, {'keyword': 'hero trilogy', 'score': 0.3294}, {'keyword': 'characters reason', 'score': 0.2974}, {'keyword': 'forget shire', 'score': 0.2882}, {'keyword': 'cast great', 'score': 0.2858}, {'keyword': 'rings adventurousness', 'score': 0.2628}, {'keyword': 'advises faramir', 'score': 0.2533}, {'keyword': 'capes exactly', 'score': 0.2333}, {'keyword': 'carries easily', 'score': 0.1916}, {'keyword': 'agrees', 'score': 0.1575}]","{'help_seeking': {'count': 4, 'frequency': 0.02564102564102564}, 'self_care': {'count': 1, 'frequency': 0.00641025641025641}, 'support_networks': {'count': 5, 'frequency': 0.03205128205128205}, 'treatment': {'count': 2, 'frequency': 0.01282051282051282}}","{'shame': {'count': 3, 'frequency': 0.019230769230769232}, 'fear': {'count': 4, 'frequency': 0.02564102564102564}, 'dismissal': {'count': 2, 'frequency': 0.01282051282051282}, 'normalization': {'count': 3, 'frequency': 0.019230769230769232}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 3, 'frequency': 0.019230769230769232}, 'negative': {'count': 1, 'frequency': 0.00641025641025641}, 'anxiety': {'count': 2, 'frequency': 0.01282051282051282}, 'depression': {'count': 2, 'frequency': 0.01282051282051282}}",5
55,"[{'keyword': 'loki amazing', 'score': 0.6044}, {'keyword': 'loved series', 'score': 0.38}, {'keyword': 'acting storytelling', 'score': 0.2585}, {'keyword': 'cell asgard', 'score': 0.2243}, {'keyword': 't9r criticism', 'score': 0.214}, {'keyword': 'agree definitely', 'score': 0.2015}, {'keyword': 'geeking visual', 'score': 0.1911}, {'keyword': 'nightmarish bureaucracy', 'score': 0.1393}, {'keyword': 'literally begins', 'score': 0.1311}, {'keyword': 'impostor syndrome', 'score': 0.0905}]","{'help_seeking': {'count': 2, 'frequency': 0.03636363636363636}, 'self_care': {'count': 1, 'frequency': 0.01818181818181818}, 'support_networks': {'count': 3, 'frequency': 0.05454545454545454}, 'treatment': {'count': 1, 'frequency': 0.01818181818181818}}","{'shame': {'count': 1, 'frequency': 0.01818181818181818}, 'fear': {'count': 2, 'frequency': 0.03636363636363636}, 'dismissal': {'count': 3, 'frequency': 0.05454545454545454}, 'normalization': {'count': 1, 'frequency': 0.01818181818181818}, 'self_blame': {'count': 2, 'frequency': 0.03636363636363636}}","{'positive': {'count': 4, 'frequency': 0.07272727272727272}, 'negative': {'count': 1, 'frequency': 0.01818181818181818}, 'anxiety': {'count': 2, 'frequency': 0.03636363636363636}, 'depression': {'count': 2, 'frequency': 0.03636363636363636}}",6
67,"[{'keyword': 'film superman', 'score': 0.7143}, {'keyword': 'opinions superman', 'score': 0.6903}, {'keyword': 'reeve favorite', 'score': 0.5481}, {'keyword': 'listen clark', 'score': 0.4039}, {'keyword': 'kent man', 'score': 0.3622}, {'keyword': 'agree portrayal', 'score': 0.2995}, {'keyword': 'loved christopher', 'score': 0.2937}, {'keyword': 'humanities noble', 'score': 0.1811}, {'keyword': 'cell research', 'score': 0.1743}, {'keyword': 'advocating disabilities', 'score': 0.164}]","{'help_seeking': {'count': 2, 'frequency': 0.029850746268656716}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 2, 'frequency': 0.029850746268656716}, 'treatment': {'count': 1, 'frequency': 0.014925373134328358}}","{'shame': {'count': 3, 'frequency': 0.04477611940298507}, 'fear': {'count': 2, 'frequency': 0.029850746268656716}, 'dismissal': {'count': 2, 'frequency': 0.029850746268656716}, 'normalization': {'count': 1, 'frequency': 0.014925373134328358}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 3, 'frequency': 0.04477611940298507}, 'negative': {'count': 1, 'frequency': 0.014925373134328358}, 'anxiety': {'count': 1, 'frequency': 0.014925373134328358}, 'depression': {'count': 1, 'frequency': 0.014925373134328358}}",7
123,"[{'keyword': 'course href', 'score': 0.6559}, {'keyword': 'href', 'score': 0.5518}, {'keyword': 'href improve', 'score': 0.509}, {'keyword': 'free course', 'score': 0.3342}, {'keyword': 'health free', 'score': 0.3247}, {'keyword': 'mental health', 'score': 0.2843}, {'keyword': 'improve mental', 'score': 0.261}, {'keyword': 'health', 'score': 0.2556}, {'keyword': 'improve', 'score': 0.1678}, {'keyword': 'course', 'score': 0.1475}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",8
194,"[{'keyword': 'course href', 'score': 0.6559}, {'keyword': 'href', 'score': 0.5518}, {'keyword': 'href improve', 'score': 0.509}, {'keyword': 'free course', 'score': 0.3342}, {'keyword': 'health free', 'score': 0.3247}, {'keyword': 'mental health', 'score': 0.2843}, {'keyword': 'improve mental', 'score': 0.261}, {'keyword': 'health', 'score': 0.2556}, {'keyword': 'improve', 'score': 0.1678}, {'keyword': 'course', 'score': 0.1475}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",9
55,"[{'keyword': 'manage tinnitus', 'score': 0.7173}, {'keyword': 'reduction ringing', 'score': 0.4476}, {'keyword': 'hearing hope', 'score': 0.3016}, {'keyword': 'bereavement anxiety', 'score': 0.2643}, {'keyword': 'catastrophise experience', 'score': 0.2627}, {'keyword': 'cure xanax', 'score': 0.2555}, {'keyword': 'wax removal', 'score': 0.2539}, {'keyword': 'symptoms disappear', 'score': 0.2413}, {'keyword': 'chronic pain', 'score': 0.2402}, {'keyword': 'counsel change', 'score': 0.1665}]","{'help_seeking': {'count': 4, 'frequency': 0.07272727272727272}, 'self_care': {'count': 2, 'frequency': 0.03636363636363636}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 3, 'frequency': 0.05454545454545454}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 4, 'frequency': 0.07272727272727272}, 'dismissal': {'count': 2, 'frequency': 0.03636363636363636}, 'normalization': {'count': 2, 'frequency': 0.03636363636363636}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 2, 'frequency': 0.03636363636363636}, 'negative': {'count': 1, 'frequency': 0.01818181818181818}, 'anxiety': {'count': 4, 'frequency': 0.07272727272727272}, 'depression': {'count': 1, 'frequency': 0.01818181818181818}}",10
55,"[{'keyword': 'ketamine therapy', 'score': 0.6778}, {'keyword': 'pushing xanax', 'score': 0.4948}, {'keyword': 'depression drug', 'score': 0.4646}, {'keyword': 'help suicidal', 'score': 0.3999}, {'keyword': 'treatment cost', 'score': 0.3286}, {'keyword': 'medicate bad', 'score': 0.3159}, {'keyword': 'therapy experience', 'score': 0.3145}, {'keyword': 'matthewperry', 'score': 0.1725}, {'keyword': 'australia ridiculous', 'score': 0.1205}, {'keyword': 'method schenelle79it', 'score': 0.1061}]","{'help_seeking': {'count': 6, 'frequency': 0.10909090909090909}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 4, 'frequency': 0.07272727272727272}, 'treatment': {'count': 5, 'frequency': 0.09090909090909091}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 2, 'frequency': 0.03636363636363636}, 'dismissal': {'count': 2, 'frequency': 0.03636363636363636}, 'normalization': {'count': 2, 'frequency': 0.03636363636363636}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 5, 'frequency': 0.09090909090909091}, 'negative': {'count': 1, 'frequency': 0.01818181818181818}, 'anxiety': {'count': 2, 'frequency': 0.03636363636363636}, 'depression': {'count': 2, 'frequency': 0.03636363636363636}}",11
51,"[{'keyword': 'point great', 'score': 0.4681}, {'keyword': 'points insightful', 'score': 0.437}, {'keyword': 'great points', 'score': 0.4197}, {'keyword': 'points good', 'score': 0.3841}, {'keyword': 'great insight', 'score': 0.3253}, {'keyword': 'insightful beautiful', 'score': 0.3175}, {'keyword': 'observation yeah', 'score': 0.2536}, {'keyword': 'thank good', 'score': 0.1961}, {'keyword': 'thats great', 'score': 0.1521}, {'keyword': 'ooh', 'score': 0.0715}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",12
168,"[{'keyword': 'agree completely', 'score': 0.4151}, {'keyword': 'agree 100', 'score': 0.4025}, {'keyword': 'amazing completely', 'score': 0.3345}, {'keyword': 'beautifully said', 'score': 0.2664}, {'keyword': 'wholeheartedly', 'score': 0.2635}, {'keyword': 'thank', 'score': 0.1768}, {'keyword': 'comments true', 'score': 0.1755}, {'keyword': '100 yes', 'score': 0.1195}, {'keyword': 'absolutely', 'score': 0.1166}, {'keyword': 'haha', 'score': 0.0662}]","{'help_seeking': {'count': 0, 'frequency': 0.0}, 'self_care': {'count': 0, 'frequency': 0.0}, 'support_networks': {'count': 0, 'frequency': 0.0}, 'treatment': {'count': 0, 'frequency': 0.0}}","{'shame': {'count': 0, 'frequency': 0.0}, 'fear': {'count': 0, 'frequency': 0.0}, 'dismissal': {'count': 0, 'frequency': 0.0}, 'normalization': {'count': 0, 'frequency': 0.0}, 'self_blame': {'count': 0, 'frequency': 0.0}}","{'positive': {'count': 0, 'frequency': 0.0}, 'negative': {'count': 0, 'frequency': 0.0}, 'anxiety': {'count': 0, 'frequency': 0.0}, 'depression': {'count': 0, 'frequency': 0.0}}",13
